,disease,drug
0,Alkylating Agent Cystitis,sodium bicarbonate
1,Alkylating Agent Cystitis,citric acid / sodium citrate
2,Abdominal Distension,bethanechol
3,Abdominal Distension,pamabrom
4,Abdominal Distension,bethanechol
5,Abdominal Distension,pamabrom
6,Abdominal Distension Prior to Abdominal X-ray,vasopressin
7,Abdominal Radiological Procedure,vasopressin
8,Abdominal Radiological Procedure,vasopressin
9,Abnormal Uterine Bleeding,medroxyprogesterone
10,Abnormal Uterine Bleeding,norethindrone
11,Abnormal Uterine Bleeding,megestrol
12,Abnormal Uterine Bleeding,levonorgestrel
13,Abnormal Uterine Bleeding,ethinyl estradiol / levonorgestrel
14,Abnormal Uterine Bleeding,ethinyl estradiol / norgestimate
15,Abnormal Uterine Bleeding,ethinyl estradiol / norethindrone
16,Abnormal Uterine Bleeding,desogestrel / ethinyl estradiol
17,Abortion,misoprostol
18,Abortion,mifepristone
19,Abortion,oxytocin
20,Abortion,carboprost
21,Abortion,dinoprostone
22,Ectopic Pregnancy,methotrexate
23,CNS Infection,cefotaxime
24,Seizures (Convulsions),levetiracetam
25,Seizures (Convulsions),phenobarbital
26,Seizures (Convulsions),phenytoin
27,Seizures (Convulsions),diazepam
28,Seizures (Convulsions),oxcarbazepine
29,Seizures (Convulsions),zonisamide
30,Seizures (Convulsions),topiramate
31,Seizures (Convulsions),valproic acid
32,Seizures (Convulsions),primidone
33,Angina,aspirin
34,Angina,nitroglycerin
35,Angina,metoprolol
36,Angina,amlodipine
37,Angina,isosorbide mononitrate
38,Angina,isosorbide dinitrate
39,Angina,enoxaparin
40,Angina,ranolazine
41,Angina,atenolol
42,Angina,carvedilol
43,Angina,amlodipine / atorvastatin
44,Fecal Incontinence,dextranomer / sodium hyaluronate
45,Acetaminophen Overdose,acetylcysteine
46,Acetaminophen Overdose,acetylcysteine
47,Tendonitis,meloxicam
48,Tendonitis,naproxen
49,Tendonitis,indomethacin
50,Tendonitis,trolamine salicylate
51,Tendonitis,sulindac
52,Tendonitis,meloxicam
53,Tendonitis,naproxen
54,Tendonitis,indomethacin
55,Tendonitis,trolamine salicylate
56,Tendonitis,sulindac
57,GERD,omeprazole
58,GERD,pantoprazole
59,GERD,ranitidine
60,GERD,famotidine
61,GERD,lansoprazole
62,GERD,esomeprazole
63,GERD,rabeprazole
64,GERD,sucralfate
65,GERD,dexlansoprazole
66,GERD,omeprazole / sodium bicarbonate
67,Acidosis,sodium bicarbonate
68,Acidosis,sodium bicarbonate
69,Acidosis,sodium bicarbonate
70,Muscle Pain,ibuprofen
71,Muscle Pain,naproxen
72,Muscle Pain,acetaminophen
73,Muscle Pain,diclofenac
74,Muscle Pain,nabumetone
75,Acne,doxycycline
76,Acne,spironolactone
77,Acne,minocycline
78,Acne,clindamycin
79,Acne,tretinoin
80,Acne,isotretinoin
81,Acne,benzoyl peroxide
82,Acne,adapalene
83,Acne,tetracycline
84,Acne,cephalexin
85,Acne,sulfamethoxazole / trimethoprim
86,Rosacea,doxycycline
87,Rosacea,metronidazole
88,Rosacea,minocycline
89,Rosacea,azelaic acid
90,Rosacea,sulfacetamide sodium / sulfur
91,Rosacea,isotretinoin
92,Rosacea,ivermectin
93,Rosacea,brimonidine
94,Acne,doxycycline
95,Acne,spironolactone
96,Acne,minocycline
97,Acne,clindamycin
98,Acne,tretinoin
99,Acne,isotretinoin
100,Acne,benzoyl peroxide
101,Acne,adapalene
102,Acne,tetracycline
103,Acne,cephalexin
104,Acne,sulfamethoxazole / trimethoprim
105,HIV Infection,lamivudine
106,HIV Infection,efavirenz / emtricitabine / tenofovir
107,HIV Infection,ritonavir
108,HIV Infection,emtricitabine / tenofovir
109,HIV Infection,tenofovir
110,HIV Infection,abacavir
111,HIV Infection,lamivudine
112,HIV Infection,efavirenz / emtricitabine / tenofovir
113,HIV Infection,ritonavir
114,HIV Infection,emtricitabine / tenofovir
115,HIV Infection,tenofovir
116,HIV Infection,abacavir
117,Methemoglobinemia,methylene blue
118,Acromegaly,bromocriptine
119,Acromegaly,octreotide
120,Acromegaly,pegvisomant
121,Acromegaly,lanreotide
122,Acromegaly,pasireotide
123,Erythromelalgia,gabapentin
124,Actinic Keratosis,fluorouracil
125,Actinic Keratosis,aminolevulinic acid
126,Actinic Keratosis,ingenol
127,Actinomycosis,amoxicillin
128,Actinomycosis,doxycycline
129,Actinomycosis,minocycline
130,Actinomycosis,penicillin g sodium
